yourlist:M2018111914483A1C7ED25EE8374758DF3FD545FD017488P	yourlist:M2018111914483A1C7ED25EE8374758DF3FD545FD017444B	Entry	Entry name	Status	Protein names	Gene ontology (GO)	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Gene ontology IDs	Cross-reference (REBASE)	Cross-reference (eggNOG)	Cross-reference (KO)	Cross-reference (OrthoDB)	Cross-reference (Pfam)	Cross-reference (KEGG)	Taxonomic lineage (CLASS)	Taxonomic lineage (FAMILY)	Taxonomic lineage (GENUS)	Taxonomic lineage (KINGDOM)	Taxonomic lineage (ORDER)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (SPECIES)	Protein families
arCOG00115		C9RF55	C9RF55_METVM	unreviewed	DNA methylase N-4/N-6 domain protein	DNA binding [GO:0003677]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]			DNA binding [GO:0003677]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0015667		arCOG00115;COG0863;		POG093Z05L7;		mvu:Metvu_0342;	Methanococci	Methanocaldococcaceae	Methanocaldococcus		Methanococcales	Euryarchaeota	Methanocaldococcus vulcanius	
arCOG00115		C9RI93	C9RI93_METVM	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	22200;	arCOG00115;COG0863;	K00571;	POG093Z05L7;	PF01555;	mvu:Metvu_1442;	Methanococci	Methanocaldococcaceae	Methanocaldococcus		Methanococcales	Euryarchaeota	Methanocaldococcus vulcanius	N(4)/N(6)-methyltransferase family
arCOG00115		D1YX66	D1YX66_METPS	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	23119;	arCOG00115;COG0863;		POG093Z07R1;	PF01555;	mpd:MCP_0966;	Methanomicrobia	Methanocellaceae	Methanocella		Methanocellales	Euryarchaeota	Methanocella paludicola	N(4)/N(6)-methyltransferase family
arCOG00115		D1YZ26	D1YZ26_METPS	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	23123;	arCOG00115;COG0863;		POG093Z0899;	PF01555;	mpd:MCP_1626;	Methanomicrobia	Methanocellaceae	Methanocella		Methanocellales	Euryarchaeota	Methanocella paludicola	N(4)/N(6)-methyltransferase family
arCOG00115		D1Z0R6	D1Z0R6_METPS	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	23124;	arCOG00115;COG0863;		POG093Z0899;	PF01555;	mpd:MCP_2216;	Methanomicrobia	Methanocellaceae	Methanocella		Methanocellales	Euryarchaeota	Methanocella paludicola	N(4)/N(6)-methyltransferase family
arCOG00115		D2RTQ8	D2RTQ8_HALTV	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	23459;	arCOG00115;COG0863;		POG093Z0899;	PF01555;	htu:Htur_2126;	Halobacteria	Natrialbaceae	Haloterrigena		Natrialbales	Euryarchaeota	Haloterrigena turkmenica	N(4)/N(6)-methyltransferase family
arCOG00115		D2RV96	D2RV96_HALTV	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	23458;	arCOG00115;COG0863;		POG093Z05DQ;	PF01555;	htu:Htur_2419;	Halobacteria	Natrialbaceae	Haloterrigena		Natrialbales	Euryarchaeota	Haloterrigena turkmenica	N(4)/N(6)-methyltransferase family
arCOG00115		D3RZ22	D3RZ22_FERPA	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	23989;	arCOG00115;COG0863;		POG093Z0899;	PF01555;	fpl:Ferp_1586;	Archaeoglobi	Archaeoglobaceae	Ferroglobus		Archaeoglobales	Euryarchaeota	Ferroglobus placidus	N(4)/N(6)-methyltransferase family
arCOG00115		D3SS30	D3SS30_NATMM	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	24492;	arCOG00115;COG0863;		POG093Z05DQ;	PF01555;	nmg:Nmag_1172;	Halobacteria	Natrialbaceae	Natrialba		Natrialbales	Euryarchaeota	Natrialba magadii	N(4)/N(6)-methyltransferase family
arCOG00115		D3SVS1	D3SVS1_NATMM	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	24493;	arCOG00115;COG0863;		POG093Z0899;	PF01555;	nmg:Nmag_0041;	Halobacteria	Natrialbaceae	Natrialba		Natrialbales	Euryarchaeota	Natrialba magadii	N(4)/N(6)-methyltransferase family
arCOG00115		D3SZI6	D3SZI6_NATMM	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	24486;	arCOG00115;COG0863;		POG093Z0899;	PF01555;	nmg:Nmag_0735;	Halobacteria	Natrialbaceae	Natrialba		Natrialbales	Euryarchaeota	Natrialba magadii	N(4)/N(6)-methyltransferase family
arCOG00115		D4GU94	D4GU94_HALVD	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	25104;	arCOG00115;COG0863;		POG093Z0899;	PF01555;	hvo:HVO_0794;	Halobacteria	Haloferacaceae	Haloferax		Haloferacales	Euryarchaeota	Haloferax volcanii (Halobacterium volcanii)	N(4)/N(6)-methyltransferase family
arCOG00115		D5EC42	D5EC42_METMS	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	25135;	arCOG00115;COG0863;	K00571;	POG093Z0FL4;	PF01555;	mmh:Mmah_1239;	Methanomicrobia	Methanosarcinaceae	Methanohalophilus		Methanosarcinales	Euryarchaeota	Methanohalophilus mahii	N(4)/N(6)-methyltransferase family
arCOG00115		D7DAQ7	D7DAQ7_STAHD	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	26457;	arCOG00115;COG0863;		POG093Z0899;	PF01555;	shc:Shell_0107;	Thermoprotei	Desulfurococcaceae	Staphylothermus		Desulfurococcales	Crenarchaeota	Staphylothermus hellenicus	N(4)/N(6)-methyltransferase family
arCOG00115		D7E6P2	D7E6P2_METEZ	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	26593;	arCOG00115;COG0863;		POG093Z0FL4;	PF01555;	mev:Metev_0338;	Methanomicrobia	Methanosarcinaceae	Methanohalobium		Methanosarcinales	Euryarchaeota	Methanohalobium evestigatum	N(4)/N(6)-methyltransferase family
arCOG00115		D8J8U1	D8J8U1_HALJB	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	26825;	arCOG00115;COG0863;		POG093Z0899;	PF01555;	hje:HacjB3_04425;	Halobacteria	Halobacteriaceae	Halalkalicoccus		Halobacteriales	Euryarchaeota	Halalkalicoccus jeotgali	N(4)/N(6)-methyltransferase family
arCOG00115		E1RD61	E1RD61_METP4	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	27864;	arCOG00115;COG0863;		POG093Z01W4;	PF01555;	mpi:Mpet_2297;	Methanomicrobia	Methanomicrobiaceae	Methanolacinia		Methanomicrobiales	Euryarchaeota	Methanolacinia petrolearia	N(4)/N(6)-methyltransferase family
arCOG00115		E1RFD1	E1RFD1_METP4	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	27862;	arCOG00115;COG0863;		POG093Z05L7;	PF01555;	mpi:Mpet_0303;	Methanomicrobia	Methanomicrobiaceae	Methanolacinia		Methanomicrobiales	Euryarchaeota	Methanolacinia petrolearia	N(4)/N(6)-methyltransferase family
arCOG00115		E4NQB5	E4NQB5_HALBP	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	29151;	arCOG00115;COG0863;		POG093Z0899;	PF01555;	hbo:Hbor_10870;	Halobacteria	Haloferacaceae	Halogeometricum		Haloferacales	Euryarchaeota	Halogeometricum borinquense	N(4)/N(6)-methyltransferase family
arCOG00115		E7QTH1	E7QTH1_9EURY	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667		arCOG00115;COG0863;		POG093Z0899;	PF01555;		Halobacteria	Halobacteriaceae	Haladaptatus		Halobacteriales	Euryarchaeota	Haladaptatus paucihalophilus	N(4)/N(6)-methyltransferase family
arCOG00115		F0LL26	F0LL26_THEBM	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	29889;	arCOG00115;COG0863;	K00571;	POG093Z0FL4;	PF01555;	tba:TERMP_01959;	Thermococci	Thermococcaceae	Thermococcus		Thermococcales	Euryarchaeota	Thermococcus barophilus	N(4)/N(6)-methyltransferase family
arCOG00115		F2KNP6	F2KNP6_ARCVS	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	33995;	arCOG00115;COG0863;		POG093Z0899;	PF01555;	ave:Arcve_0237;	Archaeoglobi	Archaeoglobaceae	Archaeoglobus		Archaeoglobales	Euryarchaeota	Archaeoglobus veneficus	N(4)/N(6)-methyltransferase family
arCOG00115		F3KKM4	F3KKM4_9ARCH	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667		arCOG00115;COG0863;			PF01555;			Nitrosopumilaceae	Nitrosoarchaeum		Nitrosopumilales	Thaumarchaeota	Candidatus Nitrosoarchaeum limnia	N(4)/N(6)-methyltransferase family
arCOG00115		F4BVG4	F4BVG4_METSG	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	34680;	arCOG00115;COG0863;		POG093Z04V8;	PF01555;	mcj:MCON_1796;	Methanomicrobia	Methanosaetaceae	Methanothrix		Methanosarcinales	Euryarchaeota	Methanothrix soehngenii (Methanosaeta concilii)	N(4)/N(6)-methyltransferase family
arCOG00115		F6BCA9	F6BCA9_METIK	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	36265;	arCOG00115;COG0863;		POG093Z0A1V;	PF01555;	mig:Metig_1783;	Methanococci	Methanocaldococcaceae	Methanotorris		Methanococcales	Euryarchaeota	Methanotorris igneus (Methanococcus igneus)	N(4)/N(6)-methyltransferase family
arCOG00115		F6D2A3	F6D2A3_METPW	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	36352;	arCOG00115;COG0863;		POG093Z0FL4;	PF01555;	mew:MSWAN_1609;	Methanobacteria	Methanobacteriaceae	Methanobacterium		Methanobacteriales	Euryarchaeota	Methanobacterium paludis (strain DSM 25820 / JCM 18151 / SWAN1)	N(4)/N(6)-methyltransferase family
arCOG00115		F6D2G4	F6D2G4_METPW	unreviewed	Modification methylase (EC 2.1.1.113)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]; DNA restriction-modification system [GO:0009307]	DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]	GO:0003677; GO:0008170; GO:0009307; GO:0015667	36342;	arCOG00115;COG0863;		POG093Z0899;	PF01555;	mew:MSWAN_0277;	Methanobacteria	Methanobacteriaceae	Methanobacterium		Methanobacteriales	Euryarchaeota	Methanobacterium paludis (strain DSM 25820 / JCM 18151 / SWAN1)	N(4)/N(6)-methyltransferase family
